T      Bact  Phage     Lys   VMR  P_spec B_spec 
 369  897672 10189159  203005  9.3   98   75 
 370  897672 10189159  203005  9.3   98   75 
 371  897672 10189159  203005  9.3   98   75 
 372  897672 10189159  203005  9.3   98   75 
 373  897672 10189159  203005  9.3   98   75 
 374  897672 10189159  203005  9.3   98   75 
 375  897672 10189159  203005  9.3   98   75 
 376  897672 10189159  203005  9.3   98   75 
 377  897672 10189159  203005  9.3   98   75 
 378  897672 10189159  203005  9.3   98   75 
 379  897672 10189159  203005  9.3   98   75 
 380  897672 10189159  203005  9.3   98   75 
 381  897672 10189159  203005  9.3   98   75 
 382  897672 10189159  203005  9.3   98   75 
 383  897672 10189159  203005  9.3   98   75 
 384  897672 10189159  203005  9.3   98   75 
 385  897672 10189159  203005  9.3   98   75 
 386  897672 10189159  203005  9.3   98   75 
 387  897672 10189159  203005  9.3   98   75 
 388  897672 10189159  203005  9.3   98   75 
 389  897672 10189159  203005  9.3   98   75 
 390  897672 10189159  203005  9.3   98   75 
 391  897672 10189159  203005  9.3   98   75 
 392  897672 10189159  203005  9.3   98   75 
 393  897672 10189159  203005  9.3   98   75 
 394  897672 10189159  203005  9.3   98   75 
 395  897672 10189159  203005  9.3   98   75 
 396  897672 10189159  203005  9.3   98   75 
 397  897672 10189159  203005  9.3   98   75 
 398  897672 10189159  203005  9.3   98   75 
 399  897672 10189159  203005  9.3   98   75 
 400  897672 10189159  203005  9.3   98   75 
 401  897672 10189159  203005  9.3   98   75 
 402  897672 10189159  203005  9.3   98   75 
 403  897672 10189159  203005  9.3   98   75 
 404  897672 10189159  203005  9.3   98   75 
 405  897672 10189159  203005  9.3   98   75 
 406  897672 10189159  203005  9.3   98   75 
 407  897672 10189159  203005  9.3   98   75 
 408  897672 10189159  203005  9.3   98   75 
 409  897672 10189159  203005  9.3   98   75 
 410  897672 10189159  203005  9.3   98   75 
 411  897672 10189159  203005  9.3   98   75 
 412  897672 10189159  203005  9.3   98   75 
 413  897672 10189159  203005  9.3   98   75 
 414  897672 10189159  203005  9.3   98   75 
 415  897672 10189159  203005  9.3   98   75 
 416  897672 10189159  203005  9.3   98   75 
 417  897672 10189159  203005  9.3   98   75 
 418  897672 10189159  203005  9.3   98   75 
 419  897672 10189159  203005  9.3   98   75 
 420  897672 10189159  203005  9.3   98   75 
 421  897672 10189159  203005  9.3   98   75 
 422  897672 10189159  203005  9.3   98   75 
 423  897672 10189159  203005  9.3   98   75 
 424  897672 10189159  203005  9.3   98   75 
 425  897672 10189159  203005  9.3   98   75 
 426  897672 10189159  203005  9.3   98   75 
 427  897672 10189159  203005  9.3   98   75 
 428  897672 10189159  203005  9.3   98   75 
 429  897672 10189159  203005  9.3   98   75 
 430  897672 10189159  203005  9.3   98   75 
 431  897672 10189159  203005  9.3   98   75 
 432  897672 10189159  203005  9.3   98   75 
 433  897672 10189159  203005  9.3   98   75 
 434  897672 10189159  203005  9.3   98   75 
 435  897672 10189159  203005  9.3   98   75 
 436  897672 10189159  203005  9.3   98   75 
 437  897672 10189159  203005  9.3   98   75 
 438  897672 10189159  203005  9.3   98   75 
 439  897672 10189159  203005  9.3   98   75 
 440  897672 10189159  203005  9.3   98   75 
 441  897672 10189159  203005  9.3   98   75 
 442  897672 10189159  203005  9.3   98   75 
 443  897672 10189159  203005  9.3   98   75 
 444  897672 10189159  203005  9.3   98   75 
 445  897672 10189159  203005  9.3   98   75 
 446  897672 10189159  203005  9.3   98   75 
 447  897672 10189159  203005  9.3   98   75 
 448  897672 10189159  203005  9.3   98   75 
 449  897672 10189159  203005  9.3   98   75 
 450  897672 10189159  203005  9.3   98   75 
 451  897672 10189159  203005  9.3   98   75 
 452  897672 10189159  203005  9.3   98   75 
 453  897672 10189159  203005  9.3   98   75 
 454  897672 10189159  203005  9.3   98   75 
 455  897672 10189159  203005  9.3   98   75 
 456  897672 10189159  203005  9.3   98   75 
 457  897672 10189159  203005  9.3   98   75 
 458  897672 10189159  203005  9.3   98   75 
 459  897672 10189159  203005  9.3   98   75 
 460  897672 10189159  203005  9.3   98   75 
 461  897672 10189159  203005  9.3   98   75 
 462  897672 10189159  203005  9.3   98   75 
 463  897672 10189159  203005  9.3   98   75 
 464  897672 10189159  203005  9.3   98   75 
 465  897672 10189159  203005  9.3   98   75 
 466  897672 10189159  203005  9.3   98   75 
 467  897672 10189159  203005  9.3   98   75 
 468  897672 10189159  203005  9.3   98   75 
 469  897672 10189159  203005  9.3   98   75 
 470  897672 10189159  203005  9.3   98   75 
 471  897672 10189159  203005  9.3   98   75 
 472  897672 10189159  203005  9.3   98   75 
 473  897672 10189159  203005  9.3   98   75 
 474  897672 10189159  203005  9.3   98   75 
 475  897672 10189159  203005  9.3   98   75 
 476  897672 10189159  203005  9.3   98   75 
 477  897672 10189159  203005  9.3   98   75 
 478  897672 10189159  203005  9.3   98   75 
 479  897672 10189159  203005  9.3   98   75 
 480  897672 10189159  203005  9.3   98   75 
 481  897672 10189159  203005  9.3   98   75 
 482  897672 10189159  203005  9.3   98   75 
 483  897672 10189159  203005  9.3   98   75 
 484  897672 10189159  203005  9.3   98   75 
 485  897672 10189159  203005  9.3   98   75 
 486  897672 10189159  203005  9.3   98   75 
 487  897672 10189159  203005  9.3   98   75 
 488  897672 10189159  203005  9.3   98   75 
 489  897672 10189159  203005  9.3   98   75 
 490  897672 10189159  203005  9.3   98   75 
 491  897672 10189159  203005  9.3   98   75 
 492  897672 10189159  203005  9.3   98   75 
 493  897672 10189159  203005  9.3   98   75 
 494  897672 10189159  203005  9.3   98   75 
 495  897672 10189159  203005  9.3   98   75 
 496  897672 10189159  203005  9.3   98   75 
 497  897672 10189159  203005  9.3   98   75 
 498  897672 10189159  203005  9.3   98   75 
 499  897672 10189159  203005  9.3   98   75 
 500  897672 10189159  203005  9.3   98   75 
 501  897672 10189159  203005  9.3   98   75 
 502  897672 10189159  203005  9.3   98   75 
 503  897672 10189159  203005  9.3   98   75 
 504  897672 10189159  203005  9.3   98   75 
 505  897672 10189159  203005  9.3   98   75 
 506  897672 10189159  203005  9.3   98   75 
 507  897672 10189159  203005  9.3   98   75 
 508  897672 10189159  203005  9.3   98   75 
 509  897672 10189159  203005  9.3   98   75 
 510  897672 10189159  203005  9.3   98   75 
 511  897672 10189159  203005  9.3   98   75 
 512  897672 10189159  203005  9.3   98   75 
 513  897672 10189159  203005  9.3   98   75 
 514  897672 10189159  203005  9.3   98   75 
 515  897672 10189159  203005  9.3   98   75 
 516  897672 10189159  203005  9.3   98   75 
 517  897672 10189159  203005  9.3   98   75 
 518  897672 10189159  203005  9.3   98   75 
 519  897672 10189159  203005  9.3   98   75 
 520  897672 10189159  203005  9.3   98   75 
