T      Bact  Phage     Lys   VMR  P_spec B_spec 
 214  830841 10191752  347813  8.6   98   70 
 215  830841 10191752  347813  8.6   98   70 
 216  830841 10191752  347813  8.6   98   70 
 217  830841 10191752  347813  8.6   98   70 
 218  830841 10191752  347813  8.6   98   70 
 219  830841 10191752  347813  8.6   98   70 
 220  830841 10191752  347813  8.6   98   70 
 221  830841 10191752  347813  8.6   98   70 
 222  830841 10191752  347813  8.6   98   70 
 223  830841 10191752  347813  8.6   98   70 
 224  830841 10191752  347813  8.6   98   70 
 225  830841 10191752  347813  8.6   98   70 
 226  830841 10191752  347813  8.6   98   70 
 227  830841 10191752  347813  8.6   98   70 
 228  830841 10191752  347813  8.6   98   70 
 229  830841 10191752  347813  8.6   98   70 
 230  830841 10191752  347813  8.6   98   70 
 231  830841 10191752  347813  8.6   98   70 
 232  830841 10191752  347813  8.6   98   70 
 233  830841 10191752  347813  8.6   98   70 
 234  830841 10191752  347813  8.6   98   70 
 235  830841 10191752  347813  8.6   98   70 
 236  830841 10191752  347813  8.6   98   70 
 237  830841 10191752  347813  8.6   98   70 
 238  830841 10191752  347813  8.6   98   70 
 239  830841 10191752  347813  8.6   98   70 
 240  830841 10191752  347813  8.6   98   70 
 241  830841 10191752  347813  8.6   98   70 
 242  830841 10191752  347813  8.6   98   70 
 243  830841 10191752  347813  8.6   98   70 
 244  830841 10191752  347813  8.6   98   70 
 245  830841 10191752  347813  8.6   98   70 
 246  830841 10191752  347813  8.6   98   70 
 247  830841 10191752  347813  8.6   98   70 
 248  830841 10191752  347813  8.6   98   70 
 249  830841 10191752  347813  8.6   98   70 
 250  830841 10191752  347813  8.6   98   70 
 251  830841 10191752  347813  8.6   98   70 
 252  830841 10191752  347813  8.6   98   70 
 253  830841 10191752  347813  8.6   98   70 
 254  830841 10191752  347813  8.6   98   70 
 255  830841 10191752  347813  8.6   98   70 
 256  830841 10191752  347813  8.6   98   70 
 257  830841 10191752  347813  8.6   98   70 
 258  830841 10191752  347813  8.6   98   70 
 259  830841 10191752  347813  8.6   98   70 
 260  830841 10191752  347813  8.6   98   70 
 261  830841 10191752  347813  8.6   98   70 
 262  830841 10191752  347813  8.6   98   70 
 263  830841 10191752  347813  8.6   98   70 
 264  830841 10191752  347813  8.6   98   70 
 265  830841 10191752  347813  8.6   98   70 
 266  830841 10191752  347813  8.6   98   70 
 267  830841 10191752  347813  8.6   98   70 
 268  830841 10191752  347813  8.6   98   70 
 269  830841 10191752  347813  8.6   98   70 
 270  830841 10191752  347813  8.6   98   70 
 271  830841 10191752  347813  8.6   98   70 
 272  830841 10191752  347813  8.6   98   70 
 273  830841 10191752  347813  8.6   98   70 
 274  830841 10191752  347813  8.6   98   70 
 275  830841 10191752  347813  8.6   98   70 
 276  830841 10191752  347813  8.6   98   70 
 277  830841 10191752  347813  8.6   98   70 
 278  830841 10191752  347813  8.6   98   70 
 279  830841 10191752  347813  8.6   98   70 
 280  830841 10191752  347813  8.6   98   70 
 281  830841 10191752  347813  8.6   98   70 
 282  830841 10191752  347813  8.6   98   70 
 283  830841 10191752  347813  8.6   98   70 
 284  830841 10191752  347813  8.6   98   70 
 285  830841 10191752  347813  8.6   98   70 
 286  830841 10191752  347813  8.6   98   70 
 287  830841 10191752  347813  8.6   98   70 
 288  830841 10191752  347813  8.6   98   70 
 289  830841 10191752  347813  8.6   98   70 
 290  830841 10191752  347813  8.6   98   70 
 291  830841 10191752  347813  8.6   98   70 
 292  830841 10191752  347813  8.6   98   70 
 293  830841 10191752  347813  8.6   98   70 
 294  830841 10191752  347813  8.6   98   70 
 295  830841 10191752  347813  8.6   98   70 
 296  830841 10191752  347813  8.6   98   70 
 297  830841 10191752  347813  8.6   98   70 
 298  830841 10191752  347813  8.6   98   70 
 299  830841 10191752  347813  8.6   98   70 
 300  830841 10191752  347813  8.6   98   70 
 301  830841 10191752  347813  8.6   98   70 
 302  830841 10191752  347813  8.6   98   70 
 303  830841 10191752  347813  8.6   98   70 
 304  830841 10191752  347813  8.6   98   70 
 305  830841 10191752  347813  8.6   98   70 
 306  830841 10191752  347813  8.6   98   70 
